Supplier_ID,Supplier_Name,Country,Region,Product_Category,Manufacturing_Type,Supply_Volume,Defect_Rate,Lead_Time_Days,Cost_per_Unit,Risk_Score,Sustainability_Score,Quarter,Year
S00022,NXP,Malaysia,APAC,MacBook,Semiconductor,49702,4.49,53,164.03,96,53,Q3,2023
S00023,Intel,India,APAC,iPhone,Assembly,19141,0.78,43,211.09,43,78,Q1,2025
S00024,Luxshare,USA,North America,iPhone,Battery,34827,4.72,11,151.98,86,77,Q2,2025
S00025,Intel,India,APAC,Apple Watch,Display,44585,3.16,57,437.02,28,93,Q1,2024
S00026,Samsung Display,South Korea,APAC,iPhone,Logistics,4627,2.14,15,168.93,92,74,Q3,2026
S00027,AAC Technologies,China,APAC,iPad,Battery,45262,4.54,5,121.69,62,62,Q4,2024
S00028,Goertek,USA,North America,MacBook,Camera,10474,0.13,12,271.7,62,86,Q2,2024
S00029,Samsung Display,Vietnam,APAC,Apple Watch,Logistics,32968,0.69,48,129.62,59,81,Q2,2023
S00030,Delta Electronics,South Korea,APAC,iPhone,Camera,31303,2.83,56,188.18,58,61,Q1,2026
S00031,Intel,Malaysia,APAC,iPad,Semiconductor,45417,3.59,41,149.57,81,98,Q3,2024
S00032,LG Innotek,Taiwan,APAC,Accessories,Display,29673,2.56,58,26.19,96,82,Q4,2024
S00033,Goertek,Malaysia,APAC,Accessories,Assembly,47717,0.81,48,229.41,70,81,Q3,2025
S00034,Foxconn,Vietnam,APAC,Accessories,Display,5931,0.5,21,366.83,24,54,Q1,2026
S00035,Sony,China,APAC,MacBook,Camera,41545,3.2,15,410.05,16,82,Q4,2025
S00036,Broadcom,USA,North America,iPad,Logistics,28848,1.67,10,350.95,3,69,Q1,2023
S00037,Samsung Display,South Korea,APAC,Accessories,Camera,3811,3.42,23,358.46,19,69,Q4,2024
S00038,Sony,China,APAC,Apple Watch,Display,3911,0.57,45,348.56,39,67,Q3,2025
S00039,Jabil,India,APAC,iPad,Battery,12111,0.77,32,370.26,50,72,Q2,2025
S00040,Wistron,Japan,APAC,iPhone,Battery,22918,4.4,39,121.99,16,75,Q4,2024
S00041,NXP,Vietnam,APAC,iPhone,Logistics,26199,2.82,53,128.51,48,61,Q4,2025
S00042,LG Innotek,Taiwan,APAC,MacBook,Logistics,21932,4.51,59,176.12,99,68,Q2,2025
S00043,Texas Instruments,USA,North America,Apple Watch,Battery,16151,4.25,24,444.67,33,73,Q2,2025
S00044,Wistron,Taiwan,APAC,Accessories,Logistics,30299,0.51,12,394.82,84,84,Q2,2024
S00045,Jabil,USA,North America,iPhone,Battery,3557,4.71,29,12.48,82,51,Q4,2025
S00046,Delta Electronics,China,APAC,iPhone,Logistics,3869,2.3,45,96.2,68,82,Q3,2023
S00047,Texas Instruments,China,APAC,iPhone,Battery,26876,0.98,12,426.12,17,82,Q3,2026
S00048,Sony,Malaysia,APAC,iPhone,Battery,5555,2.59,26,139.95,30,87,Q3,2026
S00049,Samsung Display,Taiwan,APAC,iPad,Camera,48333,2.03,58,453.99,27,83,Q1,2024
S00050,Samsung Display,India,APAC,Accessories,Logistics,49404,2.56,32,337.77,97,54,Q1,2024
S00051,Texas Instruments,Malaysia,APAC,MacBook,Battery,28643,3.64,23,290.28,64,98,Q3,2026
S00052,Samsung Display,South Korea,APAC,iPad,Camera,41447,0.97,32,240.27,46,55,Q2,2026
S00053,NXP,Taiwan,APAC,MacBook,Display,48202,3.76,41,464.88,46,80,Q2,2026
S00054,Delta Electronics,Vietnam,APAC,Apple Watch,Logistics,1699,4.28,25,103.55,33,52,Q1,2024
S00055,Foxconn,Malaysia,APAC,Apple Watch,Display,27641,2.83,35,423.66,67,89,Q1,2026
S00056,Delta Electronics,Japan,APAC,iPhone,Assembly,37631,1.12,51,495.13,66,76,Q4,2025
S00057,Qualcomm,Japan,APAC,AirPods,Display,11729,4.4,21,425.85,9,92,Q3,2026
S00058,TSMC,India,APAC,Apple Watch,Battery,13533,1.86,33,155.29,26,84,Q3,2025
S00059,Foxconn,Taiwan,APAC,iPad,Semiconductor,30592,3.1,11,255.74,45,69,Q1,2023
S00060,Foxconn,Vietnam,APAC,AirPods,Assembly,3368,0.45,50,399.94,76,72,Q4,2026
S00061,Sony,Taiwan,APAC,MacBook,Display,14403,2.94,36,293.36,86,74,Q1,2023
S00062,NXP,China,APAC,Apple Watch,Logistics,23677,3.0,26,132.62,42,55,Q4,2023
S00063,LG Innotek,South Korea,APAC,MacBook,Battery,30749,2.73,41,265.9,53,93,Q4,2023
S00064,Broadcom,Vietnam,APAC,Accessories,Semiconductor,49747,3.15,8,422.59,96,79,Q1,2025
S00065,Murata,Japan,APAC,MacBook,Camera,5142,3.53,44,365.78,13,99,Q3,2025
S00066,NXP,India,APAC,iPad,Logistics,18019,3.6,23,399.64,63,68,Q2,2025
S00067,Samsung Display,China,APAC,AirPods,Semiconductor,29251,3.75,30,22.42,62,72,Q4,2025
S00068,NXP,India,APAC,iPad,Display,2150,3.51,57,38.51,1,96,Q1,2025
S00069,Samsung Display,USA,North America,Accessories,Semiconductor,47175,2.79,52,99.6,1,65,Q2,2023
S00070,NXP,China,APAC,MacBook,Battery,14500,3.72,9,309.74,67,61,Q2,2024
S00071,Corning,USA,North America,Apple Watch,Camera,2679,0.88,26,17.05,78,77,Q4,2023
S00072,Jabil,Vietnam,APAC,Apple Watch,Assembly,45078,0.3,50,489.96,69,61,Q1,2026
S00073,Qualcomm,Japan,APAC,iPad,Battery,44919,0.58,52,405.39,100,82,Q1,2026
S00074,Jabil,China,APAC,Accessories,Camera,38220,2.05,14,475.08,100,83,Q3,2023
S00075,Broadcom,Vietnam,APAC,MacBook,Semiconductor,41158,0.17,23,256.54,1,54,Q4,2025
S00076,NXP,India,APAC,Accessories,Assembly,17364,0.9,28,472.51,2,98,Q4,2026
S00077,TSMC,Malaysia,APAC,AirPods,Camera,26471,3.22,24,291.98,50,84,Q4,2025
S00078,Sony,South Korea,APAC,iPad,Assembly,36195,0.73,55,412.11,12,52,Q4,2025
S00079,Wistron,India,APAC,Accessories,Semiconductor,33320,4.81,14,111.28,29,62,Q3,2026
S00080,Sony,Taiwan,APAC,iPad,Battery,21491,0.59,6,29.09,35,72,Q2,2025
S00081,Delta Electronics,Vietnam,APAC,Accessories,Assembly,28472,3.31,33,423.99,90,83,Q4,2025
S00082,Murata,India,APAC,iPhone,Logistics,42576,2.53,57,180.68,75,78,Q3,2025
S00083,Jabil,South Korea,APAC,AirPods,Camera,8543,3.7,25,484.11,36,59,Q4,2023
S00084,BOE,Malaysia,APAC,iPad,Semiconductor,39756,3.78,39,495.35,36,67,Q2,2025
S00085,Murata,South Korea,APAC,iPhone,Logistics,6104,3.9,28,434.89,96,86,Q3,2025
S00086,Jabil,China,APAC,Accessories,Semiconductor,45811,2.2,17,372.56,99,90,Q4,2026
S00087,Delta Electronics,Japan,APAC,Accessories,Semiconductor,47352,2.72,24,414.96,86,62,Q3,2026
S00088,Intel,Vietnam,APAC,iPad,Logistics,1698,0.59,40,15.31,19,61,Q4,2025
S00089,TSMC,South Korea,APAC,Accessories,Camera,5360,1.66,18,341.62,52,68,Q4,2026
S00090,Samsung Display,South Korea,APAC,AirPods,Semiconductor,6486,0.51,9,153.67,25,70,Q4,2025
S00091,Pegatron,USA,North America,Accessories,Semiconductor,41419,4.74,20,396.91,53,91,Q4,2026
S00092,Intel,South Korea,APAC,Accessories,Assembly,22689,0.38,35,37.38,35,72,Q1,2026
S00093,Goertek,China,APAC,iPad,Logistics,9924,1.82,22,484.64,9,59,Q3,2026
S00094,LG Innotek,China,APAC,Apple Watch,Assembly,18337,3.13,42,51.21,13,89,Q2,2025
S00095,Sony,China,APAC,iPhone,Camera,40081,2.04,31,356.06,5,78,Q1,2026
S00096,Pegatron,USA,North America,MacBook,Camera,27962,2.95,49,191.61,17,56,Q3,2024
S00097,Wistron,USA,North America,Apple Watch,Logistics,38080,3.0,40,194.37,31,68,Q1,2023
S00098,Broadcom,South Korea,APAC,iPad,Semiconductor,7588,1.95,43,217.87,90,68,Q1,2026
S00099,Texas Instruments,USA,North America,iPhone,Display,29710,2.23,49,15.56,92,69,Q3,2026
S00100,Corning,USA,North America,MacBook,Display,14116,4.13,43,375.56,77,77,Q2,2023
S00101,Qualcomm,India,APAC,iPad,Logistics,1504,1.94,53,50.62,33,87,Q4,2025
S00102,Luxshare,India,APAC,Accessories,Logistics,47196,4.82,48,489.17,45,96,Q3,2026
S00103,Pegatron,China,APAC,Accessories,Assembly,21559,2.69,15,460.37,36,84,Q2,2023
S00104,Jabil,Taiwan,APAC,iPhone,Semiconductor,31354,4.85,22,91.45,49,63,Q2,2023
S00105,Texas Instruments,Japan,APAC,iPad,Battery,43356,3.51,7,451.57,57,60,Q2,2023
S00106,Intel,USA,North America,iPad,Semiconductor,14323,4.8,20,446.23,76,73,Q2,2025
S00107,Delta Electronics,Malaysia,APAC,AirPods,Display,1667,1.74,32,326.96,8,99,Q4,2025
S00108,Goertek,Japan,APAC,MacBook,Assembly,34307,0.48,45,137.38,27,66,Q2,2025
S00109,Foxconn,India,APAC,Apple Watch,Camera,39088,1.62,24,305.36,29,62,Q4,2023
S00110,Sony,China,APAC,iPhone,Assembly,35349,0.47,10,475.4,69,96,Q4,2026
S00111,Sony,USA,North America,Accessories,Camera,11136,2.15,34,434.37,5,82,Q1,2026
S00112,Qualcomm,India,APAC,Accessories,Display,28712,2.45,51,83.7,85,75,Q1,2023
S00113,Qualcomm,Vietnam,APAC,Apple Watch,Camera,5158,2.03,31,288.85,33,83,Q3,2026
S00114,Broadcom,Taiwan,APAC,iPhone,Display,11344,2.13,5,16.7,55,55,Q4,2023
S00115,LG Innotek,USA,North America,MacBook,Assembly,13763,4.08,35,377.46,3,72,Q1,2024
S00116,Broadcom,China,APAC,Accessories,Semiconductor,24524,3.66,14,426.33,17,70,Q4,2024
S00117,AAC Technologies,South Korea,APAC,AirPods,Semiconductor,39765,1.33,49,307.03,62,50,Q1,2023
S00118,Foxconn,Malaysia,APAC,iPad,Display,38744,3.81,38,185.5,72,88,Q2,2023
S00119,Foxconn,Vietnam,APAC,Apple Watch,Camera,15489,2.54,58,388.44,50,61,Q4,2026
S00120,Wistron,India,APAC,Apple Watch,Display,43944,2.8,9,53.32,57,66,Q1,2026
S00121,Foxconn,India,APAC,MacBook,Assembly,20198,0.24,19,394.49,14,51,Q1,2024
S00122,Delta Electronics,India,APAC,Accessories,Logistics,27698,1.14,42,312.46,98,87,Q3,2025
S00123,NXP,Malaysia,APAC,AirPods,Battery,43289,2.99,34,281.86,51,83,Q4,2026
S00124,Texas Instruments,Vietnam,APAC,Accessories,Display,18715,2.78,37,393.99,30,91,Q1,2026
S00125,BOE,India,APAC,iPhone,Assembly,44088,4.75,8,235.08,17,59,Q3,2026
S00126,Foxconn,South Korea,APAC,MacBook,Camera,20963,0.42,9,490.22,53,51,Q2,2025
S00127,Luxshare,USA,North America,MacBook,Battery,5300,1.12,47,127.67,23,65,Q1,2023
S00128,Goertek,USA,North America,Accessories,Assembly,7238,2.06,20,324.03,4,74,Q4,2023
S00129,Luxshare,South Korea,APAC,Apple Watch,Display,19271,2.42,33,486.82,61,68,Q1,2023
S00130,LG Innotek,Malaysia,APAC,Apple Watch,Semiconductor,22508,1.79,46,96.74,21,55,Q1,2023
S00131,Jabil,Taiwan,APAC,Accessories,Assembly,40144,1.84,50,188.49,78,75,Q2,2025
S00132,Foxconn,India,APAC,Apple Watch,Semiconductor,47892,1.68,30,401.71,86,96,Q4,2023
S00133,Corning,Taiwan,APAC,Apple Watch,Camera,46162,4.61,21,145.67,1,57,Q1,2023
S00134,Murata,Vietnam,APAC,Apple Watch,Logistics,15178,1.0,19,272.93,56,71,Q1,2023
S00135,Jabil,China,APAC,AirPods,Semiconductor,9717,3.13,27,270.32,2,94,Q1,2025
S00136,Qualcomm,India,APAC,MacBook,Assembly,40577,0.28,55,359.54,23,95,Q1,2025
S00137,Murata,China,APAC,iPad,Logistics,39638,0.25,22,229.23,99,64,Q3,2026
S00138,Delta Electronics,China,APAC,MacBook,Assembly,47271,1.42,41,99.32,39,66,Q2,2024
S00139,Wistron,USA,North America,AirPods,Display,30926,0.54,48,124.28,13,69,Q2,2025
S00140,Delta Electronics,Japan,APAC,iPad,Logistics,7168,3.43,7,327.92,18,96,Q3,2026
S00141,TSMC,Taiwan,APAC,Accessories,Display,7371,2.73,38,283.29,40,98,Q3,2023
S00142,Intel,Vietnam,APAC,Apple Watch,Camera,24275,0.73,45,175.35,52,75,Q4,2025
S00143,Corning,Japan,APAC,iPhone,Logistics,49447,2.9,49,171.87,33,71,Q2,2025
S00144,Murata,India,APAC,MacBook,Battery,27900,0.85,59,249.03,94,60,Q4,2025
S00145,AAC Technologies,Japan,APAC,Apple Watch,Display,11589,0.95,59,422.73,3,80,Q4,2025
S00146,Goertek,Malaysia,APAC,iPad,Semiconductor,5324,4.91,35,449.34,84,77,Q3,2026
S00147,Foxconn,India,APAC,AirPods,Battery,29746,4.34,10,487.78,94,87,Q3,2023
S00148,Murata,USA,North America,MacBook,Logistics,14234,4.12,6,282.81,8,75,Q1,2023
S00149,Texas Instruments,USA,North America,iPad,Semiconductor,47514,4.21,9,101.65,68,68,Q3,2025
S00150,Jabil,USA,North America,Accessories,Logistics,46587,1.29,51,356.54,14,87,Q1,2023
S00151,Jabil,USA,North America,iPhone,Logistics,2828,2.58,40,167.11,3,82,Q1,2023
S00152,Luxshare,Taiwan,APAC,MacBook,Semiconductor,46745,2.33,9,41.05,44,51,Q3,2025
S00153,Foxconn,China,APAC,AirPods,Assembly,6287,4.07,5,78.02,73,66,Q2,2023
S00154,Pegatron,Vietnam,APAC,iPad,Assembly,28534,2.41,59,399.2,95,98,Q2,2024
S00155,Jabil,Malaysia,APAC,iPhone,Display,18988,4.17,48,210.17,75,58,Q4,2026
S00156,BOE,Japan,APAC,MacBook,Logistics,20019,1.96,5,373.15,22,78,Q2,2023
S00157,Corning,USA,North America,Apple Watch,Logistics,9007,4.16,41,108.8,30,84,Q1,2025
S00158,Murata,USA,North America,Accessories,Semiconductor,22204,1.01,23,335.95,26,53,Q3,2025
S00159,BOE,China,APAC,iPad,Battery,17984,4.4,29,344.66,72,88,Q1,2024
S00160,Samsung Display,USA,North America,iPhone,Semiconductor,30287,1.95,55,315.81,97,72,Q1,2026
S00161,Delta Electronics,USA,North America,Accessories,Camera,38438,2.56,29,184.13,66,63,Q1,2023
S00162,Texas Instruments,Malaysia,APAC,iPad,Camera,37455,1.22,43,67.28,6,52,Q2,2025
S00163,LG Innotek,China,APAC,iPhone,Semiconductor,32110,3.68,46,78.24,15,96,Q4,2024
S00164,Pegatron,USA,North America,iPhone,Display,6788,2.53,34,448.01,36,78,Q3,2025
S00165,Luxshare,USA,North America,MacBook,Battery,11789,3.79,41,391.5,33,53,Q2,2024
S00166,Foxconn,India,APAC,Accessories,Battery,20029,3.6,9,439.62,97,87,Q3,2023
S00167,Qualcomm,South Korea,APAC,Apple Watch,Assembly,24710,1.96,49,72.47,56,64,Q1,2023
S00168,Murata,Japan,APAC,Apple Watch,Semiconductor,36996,2.75,33,122.33,76,94,Q1,2023
S00169,Murata,Taiwan,APAC,iPad,Camera,21609,0.16,55,350.03,36,75,Q2,2026
S00170,NXP,China,APAC,iPhone,Semiconductor,35884,4.15,14,177.84,6,57,Q1,2025
S00171,LG Innotek,China,APAC,iPhone,Display,1814,1.51,47,85.14,13,89,Q4,2025
S00172,Jabil,Taiwan,APAC,Apple Watch,Display,45241,3.1,51,365.79,43,61,Q1,2025
S00173,Delta Electronics,India,APAC,iPad,Assembly,40915,2.87,8,397.14,37,57,Q4,2024
S00174,Samsung Display,Taiwan,APAC,iPad,Battery,1126,0.85,32,193.47,9,78,Q3,2026
S00175,Pegatron,Taiwan,APAC,iPhone,Assembly,45327,4.22,15,230.91,46,86,Q4,2023
S00176,Pegatron,India,APAC,iPad,Battery,37244,0.91,40,71.08,57,50,Q4,2026
S00177,Sony,Vietnam,APAC,Accessories,Battery,35622,1.63,55,299.72,21,96,Q4,2024
S00178,Texas Instruments,Taiwan,APAC,MacBook,Assembly,10524,1.74,56,396.02,26,90,Q1,2025
S00179,AAC Technologies,Taiwan,APAC,Apple Watch,Semiconductor,41738,2.05,29,433.12,38,51,Q2,2024
S00180,TSMC,India,APAC,Apple Watch,Battery,9070,1.8,38,460.04,43,93,Q3,2024
S00181,Murata,China,APAC,iPhone,Camera,14490,1.32,29,254.2,70,73,Q1,2026
S00182,Delta Electronics,India,APAC,iPad,Assembly,47240,1.88,47,319.81,28,99,Q2,2024
S00183,Delta Electronics,Vietnam,APAC,AirPods,Camera,39356,2.62,21,480.92,49,69,Q3,2025
S00184,Luxshare,Malaysia,APAC,Accessories,Battery,25917,0.52,44,256.08,1,81,Q4,2023
S00185,Intel,Malaysia,APAC,Accessories,Assembly,42949,3.77,23,181.2,30,78,Q3,2023
S00186,Qualcomm,Vietnam,APAC,AirPods,Battery,28952,0.28,34,419.92,19,67,Q1,2025
S00187,Broadcom,Vietnam,APAC,Apple Watch,Assembly,34536,3.9,51,268.55,92,98,Q3,2024
S00188,Delta Electronics,South Korea,APAC,Apple Watch,Camera,27737,2.54,55,86.07,1,57,Q1,2024
S00189,LG Innotek,India,APAC,Apple Watch,Display,13342,4.74,36,143.43,83,95,Q2,2026
S00190,BOE,Taiwan,APAC,Apple Watch,Display,48190,4.9,36,360.83,93,57,Q4,2023
S00191,Broadcom,USA,North America,AirPods,Camera,46368,1.19,28,106.1,72,96,Q4,2026
S00192,Texas Instruments,Vietnam,APAC,Accessories,Semiconductor,4300,0.97,37,282.79,8,83,Q3,2025
S00193,BOE,China,APAC,Apple Watch,Camera,8970,1.29,18,305.57,46,92,Q3,2024
S00194,Corning,South Korea,APAC,AirPods,Display,13175,2.05,41,79.13,14,80,Q4,2023
S00195,NXP,Vietnam,APAC,iPad,Camera,1822,4.49,11,320.29,33,72,Q1,2025
S00196,Goertek,Japan,APAC,iPhone,Assembly,21079,0.99,40,325.03,82,51,Q4,2026
S00197,NXP,Taiwan,APAC,iPhone,Semiconductor,43880,4.11,24,174.57,2,52,Q3,2024
S00198,Broadcom,USA,North America,iPad,Display,38334,0.27,24,315.83,38,79,Q3,2026
S00199,Sony,South Korea,APAC,Accessories,Logistics,46960,2.24,48,117.56,86,93,Q4,2026
S00200,Pegatron,Japan,APAC,Apple Watch,Assembly,30975,0.66,34,248.84,87,81,Q1,2024
S00201,Goertek,China,APAC,MacBook,Battery,29529,0.21,18,373.43,66,94,Q4,2026
S00202,Jabil,Vietnam,APAC,Apple Watch,Camera,35072,1.36,58,326.08,4,75,Q2,2024
S00203,Delta Electronics,South Korea,APAC,MacBook,Logistics,42401,4.51,38,143.43,75,55,Q4,2025
S00204,Jabil,India,APAC,MacBook,Assembly,32889,2.7,46,292.49,38,83,Q4,2024
S00205,Qualcomm,South Korea,APAC,Apple Watch,Battery,40952,2.09,42,416.57,87,91,Q1,2026
S00206,Murata,USA,North America,Accessories,Logistics,17725,0.77,35,438.21,40,83,Q3,2024
S00207,Murata,USA,North America,MacBook,Display,31987,3.2,57,95.93,45,66,Q2,2023
S00208,Delta Electronics,India,APAC,AirPods,Assembly,36737,2.08,50,33.01,54,92,Q2,2026
S00209,Murata,USA,North America,Apple Watch,Camera,20250,0.54,55,130.22,21,60,Q1,2024
S00210,Luxshare,India,APAC,Accessories,Logistics,25063,4.59,43,309.1,54,83,Q1,2025
S00211,NXP,South Korea,APAC,iPad,Assembly,24150,4.78,26,368.96,33,85,Q2,2023
S00212,Qualcomm,China,APAC,MacBook,Logistics,9942,1.39,39,422.35,81,94,Q4,2026
S00213,TSMC,Malaysia,APAC,iPad,Camera,39890,1.74,30,242.38,73,58,Q2,2025
S00214,Wistron,China,APAC,AirPods,Assembly,36111,3.67,29,355.41,42,74,Q1,2024
S00215,Qualcomm,South Korea,APAC,Accessories,Assembly,14350,0.47,54,401.71,44,79,Q3,2026
S00216,Samsung Display,South Korea,APAC,iPhone,Logistics,21581,2.99,23,164.15,59,98,Q2,2026
S00217,AAC Technologies,Malaysia,APAC,Accessories,Logistics,36772,3.97,59,265.44,12,65,Q4,2026
S00218,TSMC,India,APAC,iPad,Assembly,25791,3.82,35,405.21,87,86,Q3,2025
S00219,Intel,Vietnam,APAC,Apple Watch,Display,3421,3.22,12,132.34,89,61,Q3,2023
S00220,Luxshare,Japan,APAC,Apple Watch,Assembly,12918,3.5,45,472.59,47,81,Q2,2026
S00221,Wistron,Japan,APAC,iPad,Logistics,38641,2.98,21,98.48,85,71,Q1,2024
S00222,Wistron,Vietnam,APAC,Accessories,Assembly,29921,1.63,19,351.74,9,97,Q3,2025
S00223,Delta Electronics,India,APAC,MacBook,Semiconductor,9007,4.86,27,399.72,95,79,Q2,2024
S00224,Samsung Display,China,APAC,Apple Watch,Logistics,26510,2.33,46,325.83,14,80,Q1,2025
S00225,Samsung Display,Taiwan,APAC,MacBook,Camera,36435,0.69,38,443.65,43,89,Q2,2025
S00226,NXP,Malaysia,APAC,Apple Watch,Battery,32705,3.65,48,290.49,4,78,Q3,2025
S00227,Foxconn,South Korea,APAC,Accessories,Display,16317,1.66,22,264.88,42,93,Q2,2025
S00228,Foxconn,India,APAC,iPad,Display,16229,2.15,39,436.35,30,62,Q1,2023
S00229,LG Innotek,South Korea,APAC,Apple Watch,Assembly,28788,1.98,36,401.4,39,95,Q3,2026
S00230,Jabil,Japan,APAC,MacBook,Display,17371,0.36,53,206.95,57,65,Q4,2026
S00231,BOE,USA,North America,iPad,Camera,20895,1.43,14,54.93,84,54,Q4,2023
S00232,Broadcom,South Korea,APAC,Apple Watch,Battery,11816,1.27,7,238.98,30,99,Q2,2023
S00233,Samsung Display,Vietnam,APAC,Apple Watch,Camera,33913,1.24,29,145.86,53,95,Q1,2024
S00234,BOE,China,APAC,AirPods,Camera,48054,2.2,53,201.9,68,61,Q2,2024
S00235,Goertek,USA,North America,MacBook,Camera,44194,4.75,41,53.81,70,88,Q2,2025
S00236,Texas Instruments,Japan,APAC,Accessories,Camera,41970,4.53,38,91.85,52,53,Q3,2023
S00237,Sony,Vietnam,APAC,Accessories,Assembly,49988,3.28,57,417.01,74,92,Q4,2025
S00238,Intel,USA,North America,iPhone,Semiconductor,18320,1.01,7,414.84,5,54,Q2,2026
S00239,TSMC,India,APAC,Accessories,Display,9245,4.85,53,263.95,20,98,Q2,2026
S00240,Murata,Vietnam,APAC,iPhone,Battery,27172,1.38,39,381.54,62,66,Q1,2026
S00241,Pegatron,Japan,APAC,AirPods,Semiconductor,48319,4.5,39,119.98,89,58,Q3,2023
S00242,Texas Instruments,India,APAC,iPhone,Battery,38443,2.94,38,234.14,56,52,Q1,2024
S00243,Goertek,South Korea,APAC,Accessories,Battery,44642,0.73,13,31.74,98,61,Q3,2026
S00244,Wistron,China,APAC,iPhone,Battery,29841,4.07,44,466.48,11,83,Q3,2024
S00245,Qualcomm,USA,North America,Accessories,Semiconductor,26559,1.34,42,137.28,5,97,Q1,2024
S00246,Goertek,South Korea,APAC,MacBook,Logistics,47681,2.71,41,117.89,77,77,Q4,2024
S00247,Jabil,Japan,APAC,AirPods,Camera,21420,4.96,54,252.62,96,78,Q2,2024
S00248,Corning,Vietnam,APAC,Apple Watch,Assembly,19546,4.14,44,342.23,91,62,Q1,2025
S00249,Sony,South Korea,APAC,AirPods,Assembly,35080,4.41,23,435.4,92,82,Q3,2023
S00250,Samsung Display,USA,North America,iPad,Assembly,32290,4.35,45,173.66,45,74,Q4,2026
S00251,Intel,China,APAC,Apple Watch,Battery,27292,3.43,31,378.83,7,54,Q1,2026
S00252,Samsung Display,Japan,APAC,Accessories,Logistics,49874,4.81,55,440.75,42,59,Q4,2024
S00253,Luxshare,Japan,APAC,MacBook,Assembly,3719,1.74,34,455.26,82,85,Q4,2024
S00254,Samsung Display,China,APAC,iPad,Semiconductor,49845,3.81,16,13.13,96,62,Q1,2025
S00255,AAC Technologies,USA,North America,MacBook,Display,10882,4.91,21,66.76,98,73,Q1,2024
S00256,Goertek,India,APAC,iPhone,Display,2007,0.62,34,19.03,96,83,Q3,2023
S00257,Jabil,Taiwan,APAC,Accessories,Camera,2435,3.2,34,379.31,22,53,Q2,2024
S00258,Pegatron,Malaysia,APAC,iPad,Battery,8059,3.47,54,474.18,64,66,Q3,2025
S00259,Wistron,South Korea,APAC,AirPods,Logistics,15859,0.43,14,242.05,22,75,Q2,2023
S00260,Delta Electronics,USA,North America,MacBook,Display,12383,0.32,54,495.17,47,78,Q1,2026
S00261,Texas Instruments,Taiwan,APAC,MacBook,Assembly,22195,3.77,39,301.25,76,56,Q1,2024
S00262,Murata,India,APAC,MacBook,Battery,45064,1.69,19,411.2,75,72,Q1,2025
S00263,AAC Technologies,Japan,APAC,Accessories,Semiconductor,45569,0.88,38,498.59,81,84,Q1,2023
S00264,LG Innotek,Taiwan,APAC,AirPods,Semiconductor,7540,4.29,19,399.46,29,60,Q2,2025
S00265,Jabil,USA,North America,iPad,Camera,24411,4.22,51,343.44,22,60,Q1,2026
S00266,Wistron,USA,North America,iPhone,Battery,23042,4.35,48,25.34,93,70,Q1,2026
S00267,Qualcomm,Vietnam,APAC,AirPods,Assembly,40214,2.16,24,204.82,57,54,Q3,2026
S00268,AAC Technologies,Malaysia,APAC,iPad,Semiconductor,6626,2.11,42,122.68,61,84,Q1,2025
